Form Name,Count,Type,Department,Grade Level,Priority
Digital Citizenship Agreement - Elementary,1089,Policy,Technology,Elementary,High
Digital Citizenship Agreement - Middle School,756,Policy,Technology,Middle School,High
Digital Citizenship Agreement - High School,543,Policy,Technology,High School,High
Student Information Update Form,1245,Administrative,Student Services,All Grades,Medium
Emergency Contact Information Form,1198,Administrative,Student Services,All Grades,Medium
Student Handbook Acknowledgment,1156,Policy,Student Services,All Grades,High
Photo/Video Release Form,1087,Consent,Student Services,All Grades,Medium
High School Code of Conduct & Acceptable Use Policy,943,Policy,Student Services,High School,Critical
Parent Permission - Field Trips (Annual),892,Consent,Student Services,All Grades,Critical
Student Pickup Authorization,834,Administrative,Student Services,Elementary,Medium
Library Material Check-out Agreement,723,Administrative,Library,All Grades,Medium
Athletic Code of Conduct,678,Policy,Athletics,Middle & High,High
Yearbook Photo Permission,654,Consent,Student Services,All Grades,Medium
Device Responsibility Agreement - Laptops,634,Administrative,Technology,High School,Medium
Parent Permission - Athletic Participation,567,Consent,Athletics,Middle & High,Critical
Parent-Teacher Conference Request,567,Administrative,Student Services,All Grades,Medium
Tuition Payment Agreement,456,Contract,Finance,All Grades,Critical
Device Responsibility Agreement - iPads,421,Administrative,Technology,Elementary & Middle,Medium
Sports Physical Form,421,Medical,Health Services,Middle & High,Critical
Transportation Request Form,345,Administrative,Transportation,All Grades,Medium
Parking Permit Application,298,Administrative,Operations,High School,Low
Volunteer Background Check Form,289,Administrative,Student Services,All Grades,Medium
Graduation Participation Form,234,Administrative,Student Services,High School,Medium
Medication Administration Form,234,Medical,Health Services,All Grades,Critical
Graduation Cap & Gown Order,189,Administrative,Student Services,High School,Low
Faculty Employment Contract 2024-2025,187,Contract,Human Resources,N/A,Critical
Building Access Request,178,Administrative,Security,All Grades,Medium
Food Allergy Action Plan,167,Medical,Health Services,All Grades,Critical
Fundraising Activity Approval,145,Administrative,Student Services,All Grades,Low
Staff Professional Development Request,143,Administrative,Human Resources,N/A,Medium
Extended Learning Program Agreement,134,Contract,Student Services,All Grades,High
Field Study Permission - Overnight,123,Consent,Student Services,Middle & High,Critical
Facility Use Agreement,112,Contract,Operations,N/A,Medium
Substitute Teacher Agreement,95,Administrative,Human Resources,N/A,Medium
IEP Meeting Consent Form,89,Consent,Special Education,All Grades,Critical
Student Laptop Damage Report,87,Administrative,Technology,High School,Low
Technology Incident Report,76,Administrative,Technology,All Grades,Low
Vendor Service Agreement,67,Contract,Operations,N/A,Medium
Student ID Card Replacement,54,Administrative,Student Services,All Grades,Low
Lost and Found Item Claim,43,Administrative,Student Services,All Grades,Low
Course Schedule Change Request,156,Administrative,Student Services,High School,Medium
Summer School Enrollment,134,Administrative,Student Services,All Grades,Medium
College Recommendation Request,89,Administrative,Student Services,High School,Medium
Transcript Request Form,67,Administrative,Student Services,High School,Medium
Bus Transportation Agreement,234,Administrative,Transportation,All Grades,Medium
After School Program Registration,178,Administrative,Student Services,Elementary & Middle,Medium
Student Locker Assignment,156,Administrative,Student Services,Middle & High,Low
Textbook Checkout Agreement,298,Administrative,Library,All Grades,Medium
Science Lab Safety Agreement,134,Policy,Science,Middle & High,High
Art Supplies Fee Payment,89,Administrative,Finance,All Grades,Low
Music Instrument Rental Agreement,76,Contract,Fine Arts,All Grades,Medium
Drama Club Participation Form,54,Administrative,Fine Arts,All Grades,Low
Student Government Election Nomination,32,Administrative,Student Services,High School,Low
Honor Society Application,45,Administrative,Student Services,High School,Medium
College Visit Permission,67,Consent,Student Services,High School,Medium
Senior Portrait Scheduling,89,Administrative,Student Services,High School,Low
Prom Ticket Purchase,123,Administrative,Student Services,High School,Low
School Dance Permission,145,Consent,Student Services,Middle & High,Medium
Band Uniform Checkout,67,Administrative,Fine Arts,All Grades,Low
Cafeteria Account Setup,267,Administrative,Finance,All Grades,Medium
Wellness Check Consent,89,Medical,Health Services,All Grades,Medium
Mental Health Screening Permission,67,Medical,Health Services,All Grades,Critical
Counseling Services Consent,54,Medical,Health Services,All Grades,Critical
Special Dietary Needs Form,98,Medical,Health Services,All Grades,Medium
Vision and Hearing Screening,234,Medical,Health Services,Elementary,Medium
Dental Screening Permission,156,Medical,Health Services,Elementary,Medium
First Aid Treatment Consent,345,Medical,Health Services,All Grades,Critical
Emergency Medication Authorization,123,Medical,Health Services,All Grades,Critical
Student Work Display Permission,178,Consent,Student Services,All Grades,Low
Technology Acceptable Use - Staff,145,Policy,Technology,N/A,High
Professional Learning Community Participation,89,Administrative,Human Resources,N/A,Medium
Teacher Mentor Program Application,34,Administrative,Human Resources,N/A,Medium
Sabbatical Leave Request,12,Administrative,Human Resources,N/A,Medium
Professional Conference Attendance,67,Administrative,Human Resources,N/A,Medium
Staff Parking Registration,156,Administrative,Operations,N/A,Low
Key Card Access Request,89,Administrative,Security,N/A,Medium
Facility Maintenance Request,134,Administrative,Operations,N/A,Low
Supply Order Approval,198,Administrative,Operations,All Grades,Medium
Budget Allocation Request,45,Administrative,Finance,N/A,High
Grant Application Submission,23,Administrative,Finance,N/A,High
Board Meeting Attendance Request,18,Administrative,Governance,N/A,Medium
Parent Volunteer Orientation,234,Administrative,Student Services,All Grades,Medium
PTA Membership Registration,189,Administrative,Student Services,All Grades,Low
School Newsletter Subscription,567,Administrative,Communications,All Grades,Low
Website Photo Release,345,Consent,Communications,All Grades,Medium
Social Media Content Permission,234,Consent,Communications,All Grades,Medium
Student Survey Participation,456,Consent,Student Services,All Grades,Medium
Academic Assessment Opt-out,67,Administrative,Student Services,All Grades,Medium
Standardized Test Accommodations,89,Administrative,Special Education,All Grades,High
Graduation Requirements Review,145,Administrative,Student Services,High School,High
College Application Support Request,123,Administrative,Student Services,High School,Medium
Scholarship Application Assistance,98,Administrative,Student Services,High School,Medium
Career Counseling Appointment,134,Administrative,Student Services,High School,Medium
Internship Program Participation,76,Contract,Student Services,High School,Medium
Community Service Verification,156,Administrative,Student Services,High School,Medium
National Honor Society Induction,34,Administrative,Student Services,High School,Medium
Student Athlete Academic Progress,89,Administrative,Athletics,High School,High
Sports Equipment Checkout,178,Administrative,Athletics,Middle & High,Medium
Athletic Banquet Attendance,123,Administrative,Athletics,Middle & High,Low
Sports Team Travel Permission,156,Consent,Athletics,Middle & High,Critical
Tournament Participation Agreement,89,Contract,Athletics,Middle & High,High
Concussion Protocol Acknowledgment,234,Medical,Athletics,Middle & High,Critical
